Description,Category
Stop editing Karlie's page before I kill you,1
"AW article 

Wow, great work! It's really coming along nicely!! I'm making little tweaks, but its all based on your efforts. )  (Talk) ☮ღ☺",0
"Please don't be a cunt and make threats please.  I just wanted to discuss the issue.  The criticism portion is a complaint about school rules, that's irrelevant for an encyclopedia entry.  Have criticism is fine, but these criticisms are not valid for an encyclopedic entry, and further are a POV.

Every school has rules, do complaints of the rules belong an encyclopedia?",1
"Trolling 

Facebook has been reported and is regullary trolled by Josh Ware of Nevada. This is because Josh Ware is a waste of life and a faggot who fucks his dad and can't figure anything else to do in his own existence then to perform these two hobbies continuously. Watch out for that guy. He's digustingly and sickeningly gay.",1
"""Actually Koskie was a Minister under the Conservatives, and then later left for the NDP. The Koskie family have been long-time NDP supporters going back to at least the Allan Blakeney years.  

I think this whole controversy really calls for a page entitled Saskatchewan Legislative Assembly Expense Account Fraud Scandal, where the charges and convictions of each member, and support staff like Scraba can be described in detail.  There is a book entitled """"SaskScandal"""" at your local library which might be useful as a starting point, and further, I am sure NDP contributors have additional information they might want to share.  Any time you have a breach of trust in government, or fraud against the Crown, it is important that such not be minimalized or trivialized, irregardless of political party involved.

 

""",0
", as they are in Canada to the present day",0
"A misery=
You have made my life a misery on Wikipedia, and now you're gonna pay for it you disgusting, ignorant and stupid bastard.",0
My assumption was that the probation was placed to curb editors on both ssides of the discussion. Am I mistaken? Are anti-homeopathy editors favored over pro-homeopathy editors?,0
Jew supremacist liar. 146.179.213.55,1
Good work on the Bupropion page.,0
"WHAT?! 

Malta is an Arab! Stop pussying around it! You are an Arab!",0
Thank for the award. I am going to put it on my main page.,0
Go F yourself you cottonheadednittymuggins.,1
"I have vandalized NOTHING 

What you have is empty charges by left-wing radicals User:DanielEng User:Slp1,etc. who can't handle anyone adding information to a page that THEY don't want in the page.
How DARE you threaten to block me without even attempting the simplest investigation of facts.  If you want to block somone, DanielEng is violating 3 revert rule. 99.130.34.227",0
"MOTHERFUCKER, DONT BE CHANGING THE FUCKING GTA TIMELINE!",1
"""Thank you for experimenting with  Wikipedia. Your test worked, and it has been reverted or removed. Please use the sandbox for any other tests you may want to do. Take a look at the welcome page to learn more about contributing to our encyclopedia. 15 """,0
"Let's see her tits 

LOL - I HAVE NO PENIS",1
I gave the source. Clearly you did not read it. Go back to school and learn to read since your dead mother never taught you anything and your wife who is a whore doesnt love you. You must be a mexican. better go back to mexico.,1
", 27 May 2009 (UTC)

 Hi Avidius, Please see below for at least two sorces. 63.209.227.248  15:57",0
"friendly notice 

hey BilCat, what's your problem?",0
"The Normans have long since come and gone, it is you who are living in the past. Interesting that you should call me a motherfucker - that's not really a word used in England very much. Are you American by any chance? That would certainly explain a lot. And in another place you called yourself a Breton, is that not so? Why don't you make up your mind? I have no idea, and don't give a shit, about your own ethnic insecurities - Wikipedia is not the place to display them.",1
DOO DOO DA DA DA DA  GO SCREW YOURSELF,1
"you suck hardcore 

yep you heard it",1
I know the things you can find on wikipedia when your re shaping your user page,0
"""==Merge discussion==
All this article says is that there are juries where the members can serve anonymously. I think that can be covered by adding a sentence or two to the jury article. Reporters Committee for Freedom of the Press isn't exactly quality RS. """"Innominate""""  is an obscure term not used in either of the references.   """,0
"Nothing Gwen Gale says here is true.  She's a compulsive liar.  I am not a new user.  She did not coax me, she just banned me when I tried correcting her nonsense.  The only thing I am disgruntled about is her banning me.  There was no reason for it.  She is the one who is abusing Wiki's policy, not I.  She's also using her editor priveldges to promote such nonsense, nonsense she calls source doucmentation.  There's tons of source documentation regarding this subjecet, not just the one she is trying to promote.  Other have run into the same problem with the Gale person.  She is not an authority on the subject and should not be using Wiki as a sounding board to promote propagada.",1
"""ha ha ha im really getting a kick out of all of this you guys are so angry and would love to make me took bad, fantastic! is it working out how you planned? boy i hope so. ha ha ha!. my background is in graphic design and photography not art, which is more than i can say for the likes of you, and I have uploaded historic photos where appropriate, you must have been busy """"cleaning up"""" the article (ha ha ha) and didnt notice what was right in front of you...exactly the kind of person we need helping the article out. keep it coming if you like... while your dying to find things im doing wrong im actually down there photographing our history being demolished. if you cant contribute, dont bitch.24.239.189.6  

""",1
"""Age vandalism ==

His portrait profile lists his year of birth as 1991, aging him at 16. As a new user, I cannot repair this. Somebody, however, should.  —Preceding unsigned comment added by  (talk • contribs)  

 The Black Kennedy 

I've heard him being called this, but have no citation of it. Does anyone what any? one10 

== """,0
"fuck you

fuck you majorly. suck my dick asshole.",1
"Important 
do you spit or swallow?",1
Perhaps he want to imply some sort of threat?,0
That's exactly how I was thinking.  talk,0
"RANGE BLOCKING WHEATON AND HALF of DUPage is Real nice Gamaliel as well as if the IRS pick up wiki's violations in code.  Gamaliel you damage wikipedia every time you push your political agenda.

The Education section is just a spurious attack ad nonsense from the failed Duckworth attack Ad and Mailing.  IF you even take the time to read Eric Zorn condemns it as such.  Education section is just puerile nonsense 
ERIC ZORN saying this item is not relevant as well.  —Preceding unsigned comment added by 68.75.168.218",0
"Anywhere will do, Nab. In any case, it will likely be taken down eventually by someone who likes applying the letter of the law, rather than its spirit, which here consists in simply providing a reader with good reliable information.Thanks",0
Do you even READ your sources? You couldn't come off as less of a racist posting that sort of nonsense if you were actually wearing a Nazi uniform while posting.,1
"No disrespect to Mercury, but he should be under former members section based on the fact that he's deceased. Example: Bon Scott from AC/DC is listed as a """"Former Member"""", even though he, too, is deceased. - Tim, 25 May, 2009
",0
"still picking on a 10 year old? you seriously need a life dude!LOL!!! 

Ugh i hate when people treat me like that you just think since your like a jillion years old that your so much smarter that me! well im in swas thats the gifted program if your that stupid!And you are just picking on a poor defensless 10 year old.hows that gonna look on ur resume you big fat fucking pig.yea thats right i can curse now bitch ass nigga. you just wait and see and then you'll underestimate how much power a 10 year old can have pussy eating cock sucker!!!!!!!!!!!!!!!",1
"You smell like doo doo! 

You stink!",1
"your uncivil threats 

Your uncivil threats and bad-faith behavior have been reported to the 3RR noticeboard, vandal.",1
"I had a great time with you last night! 
Anal sex was great man! We should do it again some time. I hope we get married because we've had a lot of dates.",1
From what I can tell as DiC's licence has expired I don't think its dub is supposed to be played anymore. So in effect it's banner but that's not quite the right terminology use. At leas that is what I've been lead to believe.,0
"DYK nomination of Milan Paumer 

Refs are sorted now - thanks for the advice.",0
"A big thank you
Hello Jeandré. I just wanted to say a big thank you for the note on my page about being able to preview categories at the bottom of the page. I don't believe that I have ever scrolled down that far when editing and, while it isn't the most important thing in the world, I do try to have my edits in order before saving so I use the show preview button a lot. I appreciate the time that you took to let me know about this and thanks again! )  | Talk",0
"You must not have looked hard. I have found several without trying: Cesar Chavez. Brenadan Fraser, and your talk page.",0
Yeah just because she say's it is doesn't mean its so. The websites i sourced tell you its not irish but is ENGLISH. Alec Baldwin tried to say he was irish yet any evidence found has shown he mostly of English and French decent. So unless you can find any evidence shes of irish decent (you seem to be a fanatically pro irish person) then stop deleting my posts!,0
OK YOURE A FAG THEN,1
"'Neutral POV' in conflict with mainstream scientific consensus? 

This article, like all Wiki's, purports to have:-

i) 'Scientific focus: Wikipedia is an encyclopedia and its content on scientific and quasi-scientific topics will primarily reflect current mainstream scientific consensus.'

and

ii) 'Neutral point of view as applied to science: Wikipedia:Neutral point of view, a fundamental policy, requires fair representation of significant alternatives to scientific orthodoxy. Significant alternatives, in this case, refers to legitimate scientific disagreement, as opposed to pseudoscience.'

Surely there is already a cultural bias, in the West, reflected in its science, which effectively imposes some kind of Conversion therapy (or its opposite?) on its citizens: there is a manufactured consensus, arrived at by undemocratic and concealed means, that 'it's okay to be LGBT,' which doesn't come clean about the physical and social consequences.80.229.223.248",0
"Website 

Hey all,
I was thinking of getting myself a website to display my pictures and this was the cheapest thing I could find. I don't know about others, but Fir and Diliff, you guys have websites, do you think it is legit? Could you provide any better alternatives? Help from any other guild member is also appreciated. Thanks (talk)",0
"Why? 
Why do you block some users, only by the fact of be suckpuppet, suckpuppet are in wikipedia but is not motif to block, you are a great stupid. –",1
"Vandalism 

Stop vandalising pages. You are SO annoying!",1
"silencing dissent? 

What the hell is with you removing all my comments from Talk:September 11, 2001 attacks? Is only one side of the argument allowed to be presented there?

I was only trying to suggest a little neutrality, so by removing what I said without reason you've shown that you are willing to abuse your position to push a POV.",1
"Zappaz, it remains an unattributed opinion. Who saw this as evidence?  00:40, 6 Dec 2004 (UTC)",0
"Wouldn't iceland be the main user of these, with their geothermal heating?",0
Please do not delete this page as I may return to wikipedia.,0
OK thank you. I think i am learning a lot more now.,0
"Bald 

LessHeard vanU is Bald [2x]

YIIIIEEEEEEEEE

LessHeard vanU is Bald! - BALD BALD BALD B-A-L
LessHeard vanU is Bald! - BALD
Bald, he's bald
LessHeard vanU is Bald!
LessHeard vanU is bald [7x]
LessHeard vanU is bald, bald
LessHeard vanU is bald [2x]
LessHeard vanU is bald, bald BAAAAAAAALLLLLLDDDD!!!!
LessHeard vanU is baaaaaaaaaaaaaaald

YIIIIIIEEEEEEEE

LessHeard vanU is bald - HAHAHAHAHAHAHAHAAAA
LessHeard vanU is bald [3x]
LessHeard vanU is bald, bald, bald, bald, LessHeard vanU IS BALD!

LessHeard vanU is bald
I'm telling ya, he's got no fucking hair
B-A-L-D, LessHeard vanU is bald [2x]

LessHeard vanU is bald! - BALD BALD BALD B-A-L
LessHeard vanU is bald! - BALD

Bald to the bone [2x]
I'm telling you baby - HAHAHAHAHAHAHAAAA

LessHeard vanU is bald [2x]
Bald [3x]
LessHeard vanU is baaaaaaaald [5x]

 AQuestion forU 

What is a mid-life crisis? 86.179.40.116",1
"AimeeLee you are a dumb fuck. You are an American, i guess. Or a reall, really, really thick Canadian/aussie/kiwi.",1
"Merge proposal 

I strongly disagree. This article should be deleted outright, as the list of compositions is already on the Olivier Messiaen article.",0
"after a block as a result of a long peronsal vendetta bya user who threatened, bullied and harassed me and continues. My work since unblocked",0
"Don't bother, this Admin don't give a damm... He's just wraped up in his power trip.... truth, or facts or reason be dammed,  only the relgion of jimbo and the coolaid is now relavent... wik=KAFKA=CATCH22=ANIMALFARM=1984 2+2=5  btw i'm joehazleton and I hate when others take credit for work I don't do...",1
"I know that there is an unfortunate coincidence that you on your travels, Jimmy, and not able to scrutinize things closely, just as you were when the Essjay shit hit the fan, but it is worth considering whether you want to support someone playing the same sort of game as Essjay played of pretending to be what he was not in order to gain an advantage in on-Wiki discussions. Do you again want to let a troll, in this case a misogynist one, be seen to have gulled you?92.238.57.40",1
Fuck off fatty. Get a life.,1
You are the best Wikipedia user EVAR.,0
"""Having said all that, it appears that you've been tapped up by her, so all bets are off.  If you'd like to take me to AN/I (yet again) or Arbcom or wherever, please do so, and stop with the pathetic """"threats"""".  I'm midway through preparing a rather substantive RFC against Medeis and Bugs, but your intervention could curtail that.  Which is fine, but either way, stop messing me around.  """,0
"Hello,  thank You very much for unblocking me, I won't disappoint you.",0
"Baseless accusations and harassment 

Please do not accuse me of sockpuppeting as you have done numerous times before in fishing attempts. I consider this harassment. If you're serious in your convictions then you should ask for administrator intervention. Thank you, best wishes.",0
"hmm... 
it appears that somebody changed one of our templates to make your orientation different. vandalism much? i'll be changing that back for you, because as much as i dont like you, i'm sure you're not gay.",1
"I am so in support of  on this one,  is such an arrogant Wikipedia Nazi and so trying hard to be a Wikipedia Policy Police. g8crash3r",1
"Return 

Dear KGyST, we are awaiting your return to the hu. wiki: Dtma, Moony and Ronastudor",0
"He also tried to claim that I falsely accused him of lying. This is pitiful, and yet predictable - every liar always says they are falsely accused of lying. He has lied on SEVERAL occasions about users, today is not the first. .. Fact is he falsely accuses me of making an inexcusable edit when in fact I went to edit the wrong page by mistake  but instead of trying to find out what happened, he did what an opportunistic bully like him does and used it as a means to lie and say it was malicious. Please don't fall for his BS.
Darn right this has to end  WilliamJE's 2-year reign as the bully of Wikipedia will stop.",0
"BEST BEHAVIOUR IS A SINGLE! 

http://www.ndubz.com/discography

IS the OFFICIAL fucking site of N-Dubz good enough, you ignorant fucked up retarded cunts?",1
"User:Iaaasi 

While I agree with your initial revocation of Iaaasi's talk page access, since I've proposed to formally ban him from WP, he should have a fair chance to defend himself. Therefore I request that you reverse your action for the time being.  (t • c)",0
"ME TO U PEDOFILER JUST CAUS UV NEVER SEEN A BLOODY COCKUS uR SELF U LITTLE DOES NOT, REPEAT NOT, MEAN THEY DONT EXIST. HAVE U EVER SEEN A RARE MADAGSCAN LEMUR, NO BUT IT STILL EXSISTS U COCKUP OF AN ACCIDENT.
          
         Yours Truthfuly,
              Christophius Sehsuvarugloop",1
"To Jtkiefer 

So, you admit he's a sock-puppet, and he was still using the Unike account, but he doesn't get blocked, but gets away with a warning?  Even after using the Unike account to leave me messages denying he's sock puppeting?  And I, on the other hand, tag his page with a sock puppet notice, which you and he both revert  and you call that vandalism and block me?  How do you justify this?   I can't wait to hear your answer.",1
"asshole? 

congratualtions on being such a huge fucking asshole!!! Bongwarrior

65.75.190.17",1
REDIRECT Talk:Craig Strachan (hockey),0
"GO AHEAD AND BLOCK ME! 

 I HAVE 42 FUCKIN ACCOUNTS ON WIKIPEDIA. You cannot get rid of me for no fuckin reason. So go ahead and block me. And i will just log in to another account at which you suck. By the way, how can you vandalize YOUR OWN DESCUSSION PAGE!? This is mine, why the hell are you worried about mine you piece of shit!",1
"@your little brother the Yank - burning the Quran or pissing on it does not bother anyone Son, it does not. Child. It is a trick, a trap that you walked into. Idiot.
Faith is not about books, they just fake the anger to beat your sweet red ass...Yank...Ruler of the World....Clown...:) Make some movies...Yeah..make some movies...idiot.",1
"The Endo Group 

Thanks for the invitation - I'll jump in!",0
"Why haven't you yet! 

I don't give a fuck!

Fuck you and all your wiki shitty stars, you fuckhead!",1
"The funny thing is that it says the movie was released under Creative Commons, but then states that it cannot be edited. I don't see how these two facts are compatible since a true release under Creative Commons would include the right to both share and remix. Somehow the information in this article is incomplete or incorrect. My posting is released under Creative Commons, so feel free to share or remix it. ;-)",0
What identity is that? Dracula? Why is it that you cannot be civil and concentrate upon the issues here - your bad behaviour.,0
"Yes you stupid asshole, it does count. Just because it's not mentioned on the screen does not mean it's canon. Like WyrmKing said earlier, Nathan Petrelli's sons' names weren't mentioned on the script but the credits showed their names. Does that mean, they didn't have names? 800 series is T-800. Merchan-fucking-dise says it's T-800. The writers says it's T-800. The creature desginer, Stan Winston says it's T-800. It's fucking T-800. T-fucking-800.",1
"'What makes you think I give a fuck about your political leanings?' - er, you questioned them by saying 'this user seems to be on a campaign trial on behalf of UKIP'
Why is it non-notable trivia? Why did the media cover it then? 
Why is it a 'drive-by' to add sourced material to the article? Is this article yours? 
How does it having nothing to do with Brady when he himself made the comments?
Why couldn't you just be decent about it? Why all the swearing and accusations?",1
"cheers 
die in a fire, fianna failure",0
He got what he deserved for wrecking Wikipedia with his so-called Abuse Filter.,0
it's non of your business mother fucker,1
Oooh don't like a bit of your own medicine do you? Scared of the truth as to what you are? At least my dad defends himself when lies are told about him. Put back my post if you dare so people can see what is said about you also.,1
I won't be coming back after that kick in the teeth. Enough is enough.  Fatuorum,0
"You're the virgin in the smke that I've always wanted to sex up! 

I think that I am going to sue you for being mean to me. I'll get my llawer, and you can get yours! lets see who wins in that fight. Ha!

Love Ya - xxxx",1
Do not blank me again.  That is a rights violation of Wikipedia users.,0
"Happy New Year to you too! Yes, I did find the spider article interesting; I tidied it a bit and added more on the choice of name.",0
You're full of shit.,1
"Thomas H. Welch 

Re Thomas H. Welch  I read the article, and Mr. Welch's notability as a musician did not appear to meet the standards of WP:BAND.  Nor does dying young in itself make a musician notable.  Sorry  I appreciate your many contributions of biographies of notable Louisianans, but I don't think this one works.",0
"""all the word picking on Rastamouse = boring, but that's the nob'eds of Wikipedia 4 you, but have you ever watched it, any animation or listened to any reggae beyond chart hits???

my """"qualifications""""??? over 7000 cartoon films 1900-1980s, over 16000 music tracks inc 2400 reggae tracks, most from the original 45s""",0
"Tkorrovi has put a number of diffs in his request which I have looked at. Granted most date from May, 2004 but the last few date from December, 2004. I also looked at the article history and looked at recent comments directed at him. Whether he is good or competent editor I cannot say but you do seem to attack him personally in a rude way. And  he does demonstrate that by the diffs he has cited.  11:35, Mar 29, 2005 (UTC)",0
Your bot is still moving Romanian interwiki links to the wrong place: see this edit. —,0
"Cutting-edge research may indeed overturn eventually current consensus, but Wikipedia is not the place to premiere such research per policy of WP:No original research.",0
theres these 2 at fuck in school bathroom and its at florence hight school,1
"ChickenFucker 

for t3h lulz",1
"this novel and movie is a fiction 

where is a need for this article? do we really need article explaining meaning of fiction?
72.185.61.209",0
"Dcokeman, while you preach to us from up high on what neutrality means, you need to take a lesson in civility.  
Stop throwing out lame definitions from webster's dictionary to prove your point, maybe assume we know a little bit about the english language.
Stop preaching to us what neutrality means like a father talks to a child, just make your point about why something is neutral or not without defining neutrality for us everytime.  Assume we're maybe quite possibly smarter than monkeys.
Don't shout, there's no reason why you need to shove your opinion down our throats. 16:40, July 13, 2005 (UTC)",1
"Fastily,  Take it up the ass, douchebag.

ScJessey has no business talking about Obama's page on Wikipedia.  He is a left-wing, lying, fat fuck.  He's as bad as Gamaliel.",1
"Earl King, you should not continue to edit any article on Wikipedia until you begin to show competency and understanding about our basic sourcing and citation guidelines concerning reliable sources and links to hosting websites.",0
as the whole world consider you Sunnis terrorists,1
"Hahaha, wikipedia is all you have you autistic motherfuckers. You're drones going around in circles. Trapped in a fruitless bureaucracy of your own collective making that produces nothing but drama and no intellect.",1
its corresponding data transfer rate kilobits/s or kbits/s in Hd radio documentation.,0
"Bash.org 

You deleted Bash.org off Wikipedeia.  U suck you belgian dicklicking lil faggot.  fuckin die.",1
"Bitch shut your ass up, it's not bogus Vince is the majority owner, and yes through the class b shares it became Family owned and controled, that's why it's considered Family owned, and the only reason I haven't changed it back to McMahon Family, is because Wikipedia said I'm in a edit war, take yo ass back to editing something else give been editing WWE and Stephanie McMahon things for 2 years and yo stupid ass is the only one who has said something about my editing",1
"Hello Jakeyboy! 

It is I the almighty lord and master of the universe. My protege EvilAmeoba has brought it to my attention that you have not been very nice. Bad Jakeyboy! I should punish you to HELL!!! I hearby order you to apologise immediately!!! Her page did not need to be deleted. You of all people should know about free speech. Before I go I would just like to say Fuck you Jakeyboy!!!

I HAVE SPOKEN!",1
"BKBKBKBK
lease take some time to review our standards on verifiability and reverting. 
SHUT DA FUCC UP BITCCH!",1
"""Now hear this Somchai Sun cracker.   Some of us here on Wikipedia are not caught up in the racist swindle of using the word """"Islamism"""".  There is nothing wrong with wanting to delete this page -that is not censorship but respect for encyclopedic knowledge, whereas you worshiper of authority want to kiss the ass of all the white scum anti-Muslim pro-war, intellectual nobodies, who want to turn wikipedia into the National Enquirer or some kind of British tabloid.  We won't stand for it so don't bother coming back you simple anti-Semitic pseudo-journalistic charlatan!!!  """,1
"all wikipedians are nob heads who should resign and close the wiki. stop ignoring me, frackingjniohn;dfngjifd tio3=12 8  ncfgh etrjkrtjgrei  CRAP! 04980 IFJVO;FGIEROIFGEGJIO   PAY ME ATTENTION21    VJIF IJFGGIJSFDIHBNB                SHIT GBFBJHFGIOGFBHGIFJHGIFHNJNM",1
"I completely agree, I think milborne is on some sort of power trip.  Also seems obsessed by the military which is strange.",0
because i am a Miserable MotherFucker and a BIG DickHead,1
"Look, dothead... 

This is a white man's encyclopedia. Stop messing with my edits.",1
"Bbsrock 

Why did you put sucks big cock?",1
"I mean seriously, who are you? Are you joking? You make a couple of posts saying that the categories do not belong but don't explain why. You got to be kidding me. Your posts make it seem like you are a little kid.",1
ameriKKKans like to get their anusses raped,1
"You can do you work from this version, adding the content back that was removed by previous editors would be much more work then you making you additions or removals from this version.",0
"reverting my edits 

stop it you asscake

the thing with the bus really happened.

edit it if yiou want tom improve it but dont revert",0
"DMacks is a fucking faggot 

You heard. Faggot.",1
"Please stop your disruptive editing, such as the edit you made to User:Magioladitis. If your vandalism continues, you will be blocked from editing Wikipedia.  83",0
SpikeToronto Is Gay RCP,1
"What the fuck is your problem?
I just got through a similar content dispute with another fuckwit that stared deleting v a l i d,  s u b s t a n t i a t e d content from Toni Pearen. Okay, let's hear it. What's your golden reason for this blatant error?",1
"User messages. 

I guess you missed the part where I said I have ZERO interest in what you or anyone else has to say. Yet you left a message anyway. Also, I'm mortally allergic to cats. Piss off.",0
"Trouted 

You have been trouted for: FUCK YOU!!!",1
"Here I am: 0Waldo with my 'OTHER' response to your total collateral/blatherskite actions.  If you other junior punk editors would have done your research prior to intimidating me with your virtual stupidity then you would have taken note that the link which has been on there forever mysteriously evaporated on 10:55, 22 February 2006 by “”Timpailthorpe”” due to actions of “”Agent007bond”” on 01:59, 22 February 2006.  All I did was add the link back and try to ignore your stupid bla-bla and ya-ya by adding it back. I'm getting sick of having to deal with the jack-legged intellect that you bone-headed editors suffer from so liberally – GADZ; you all think you are so intelligent, sorry pals, you lack severely, doctorates and all.  My Advice: do your research and “”then”” come back and ask me a question or do your edit thing – quit screaming at me with all your junior editorial cannons/crap about “3R”, “Civil” and the like – here is my advice: TAKE AN ANTI-STUPID-EDITOR-PILL all of you. You revert this and you revert that and then do your research and realize your actions were premature and then have to stick with your accidents and stupidity and lie to the cops here subsequently blaming your stupid actions on me. I submit this “”Civilly and sincerely”” to all applicable.",1
I like the term Eastern Eurasian better than Mongoloid.,0
"Guess what 

You are so fucking retarded that down syndrome patients got nothing on you, you suck so much balls that whores ask you to save some for them, you can go fuck yourself cum than lick it out of your vagina and ass, you swallow your dads jizz, i fucking hate you",0
"I fapped hard to this
This page made me cum all over my computer screen. Many thanks Wikipedia. 124.188.70.214",0
"support - mostly.  I think there is room for a general article on thermonuclear weapons, separate from both nuclear weapons and this one.  The issues of weapons design issues could be addressed in greater detail here, and issues of history and current status in the separate article.",0
"NPOV? 

This article is hardly neutral at present is it? 194.189.32.65",0
"Great, now I just lost 26 refs, LOL, because I get pissed off a little you think it's smart to block me! What a pathetic policy, you should block Bunrtsource for the abuse he has contributed to the Wrestling Project, you should read your rules, you didn't warn me first. You failed your own rules!",1
My dad is 6'7' you dumb snail of a kid!,1
"""There are no historical documents porving the claim that the Mughals were a """"Turkic people"""" ... NONE of the official state-documents of the empire was in ANY Turkic language, NONE of the ruling kings is known as a Turkic writer, nationalists, or whatever. If someone disputes these facts, he should provide reliable sources!

""",0
"It might be worth noting that while most people remember the phrase as Rich Corinthian Leather, Montalban never said this. He used Soft Corinthian Leather, and in a few separate ads Rich Leather.",0
"honestly J delanoy, take a look at your life, look at how much time you spend here, cleaning up vandalism, doing absolutely nothing to better society or yourself. you're just as pathetic and worthless as I am, faggot.24.80.121.187   <3",1
"Lots of Mormons in the edit crowd, I think, that simply don't want their beloved racist homophobe seen in anything but a positive light.",1
So I can't talk on a talk page? Good to know. Thanks. You win. Congratulations. Your prize is that you are a wanker.,1
Favonian drinks Djathinkimacowboy's love juice - and makes Salvio watch jealously,0
"Nvidia 347.09 WHQL drivers with OpenGL 4.5 

Nvidia released OpenGL 4.5 347.09 WHQL drivers but your retarded fellow admins keep reverting it. Well done, autistic aspergers child. Hope you all burn in the lowest level of hell that you deserve, autistic aspergers child.",1
You should commit suicide and get it over with.,1
"Ahontoay
Deleting my page Ahontoay was not necessary. I read the reason for the page's deletion and the following may help you learn more information about this group of non treaty Montana Chippewa Indians. You claimed you searched for anything about Ahontoay on wikipedia. You can try searching by using the name Ahonteways but it won't work. Search by using the phrase User:Linniebc/SandBox. That will quickly lead you to the wikipedia page with A-Hon-Te-Ways. Though the phrase is a wikipedia's contributor's name, it is the only way you'll find it. That is the only wikipedia page with that name. The Ahontoay are a non federally recognized group of Chippewa's in Montana. The United States has no jurisdiction over them. 

The only way to find out about this group of non treaty Chippewa's, is by using google or another search engine. Google Ahontoay and you will find that the name is spelt as Ahontoay. The wikipedia page spells it as Ahonteways, which is not the correct way of spelling the chiefs name on the historical records i have found on the internet. Don't get the two names Ahontoay and Ahonteways, mixed up. They are not two different peoples but the same people. Chief Ahontoay did not take treaty. He never lived on a Reservation which proves he refused to cooperate with the United States. You will have to deal with the obvious difference in name spelling. It is not right to delete my page because it is not a hoax. It is based on real historical events. 

I will complain to your superior if you refuse to return my page. My page is not a hoax. I have spent a great deal of time on the internet conspiracy searching for all kinds of information, and to have someone as you intrude, makes it all the more worse. Your actions were not necessary. I will include racism if you do not return my page.",0
"GO FUCK YOURSELF! 

there was no reason to delete what i put in that article..i changed it because what it said before was false stupid!",1
"your right bro, your so right.....not! i hate you. block me you fagplease",1
"12, 11 December 2007 (UTC)
You shouldn't apologize for making the RfC. She deserved it. Thanks!,  (T/C) 01:31, 11",0
Wikipedia should be named Wikifagia because they all suck balls.,1
"'Christian' is also a word in the English language that denotes an irreligious idea. It is sad that you can see the word only as religious or political. Imagine how disgusting the stuff here is to move a Seminarian to do what he did. As for forgiving, the Mammon Christians here have been forgiving me throughout for objecting to their lies. And I need not prove my Christian-ness to you; I have been doing it plainly by standing for truth here, and taking the stupid Block with amusement.",0
Hello. I have removed the Speedy Delete template from your user page. It was intended to go on the main space page. Sorry.,0
"No, the Dumbest Shit Ever meter went right off the scales at that talk page. My comment just tipped it to 6.",1
"Since that warning you created two nonsense articles, Matthew Cross and Joshua Hunt, which have been deleted. So,",0
there are no published sources for these references. How can i possible find an article that says he is a producer on Briz31? there isnt any news articles about that. And as for the rumour of him datin nicky whelan? It is a rumour. It is not confirmed and there is no article on that either. It cant be sourced.,0
You are a mother fucking son of a bich you asshole,1
Just getting started on this page,0
and for the capitalize thing actually its not bad grammer if your using it in titles... You need a lesson from your Teacher Matt Stiker... Lol J/k ... But Seriously though if me calling other people gay offends you... you have to be a total nerd in real life that can't take being called names... oh well i feel sorry for you... wikipedia is probably the most action you get besides your creeper sites you visit...,1
"The second diff does not appear to be a revert, just a rejigging of the lede.  Collect seems currently to be targeting",0
. I think you should revert your revert.,0
"STANDAHL ARE YOU A MAN OR A MOUSESTACHE?

WHY DON'T YOU RESPOND.

ARE YOU SCARED OF THE APPROPRIATE FEDERAL AGENCIES WHO ARE ACTIVELY WATCHING YOUR ACTS?",1
-I don't think it should be 1 fucking week! -,1
"As of right now my coding has hit a small runtime bug, Untill I find it, (hopefully before I get out the hammer) the bot can't do much...The problem is in the get category function. Aboslutly needed if the bot is to be used for adding categorys, I will let you know when it is fixed!!!Eagle (talk) (desk)",0
"WTF? Banned? 

Some person in a fourm said it is banned in Syria do to the closeness of the names Al-Asad and Al-Assad. The correct form is Al Asad in the game. I said he was wrong and he went crazy saying some dumb stuff that I was stupid. Who is right, cause I could find No Source that confirmed his statement that this game is banned in Syria. Asad and Assad are very common middle eastern names anyway 72.138.216.89",0
I am wrecking your Wikipedia. Do something.,0
"November 2006
Please stop. If you continue to vandalize pages,  you will be blocked from editing Wikipedia.",0
"Are you serious? 

How is calling someone a fag worse than several of the other comments on that page.  If I'm such a horrible person for saying that, then everyone who posted an attacking comment there should be blocked.  Your general dislike of me is showing.

And, for the record, I actually care about other people here, which is why I was mad that another admin was being a total jerk to the person whose talk page I was posting on.  That guy quit editing here because admins were treating him badly.  I'm allowed to say that I think what the admin was doing was retarded.  My comments were probably a bit too profane, but they had truth behind them.",0
"Anytime.  Glad to do it.  Thanks for taking the time to do likewise. -  00:15, 17 Aug 2004 (UTC)",0
